ID,Date,Orig_Tweet,Tweet,Type,RTs,Hashtags,UserMentionNames,UserMentionID,Name
1.01359703617895E+018,7/2/2018 1:35,"RT @EllaPangilinanx: Idek what to do anymore. 
Spain and Portugal both out ? #WorldCup",Idek what to do anymore Spain and Portugal both out,Criticism,1,WorldCup,Ella Laxa-Pangilinan,EllaPangilinanx,Alice
1.01359703609081E+018,7/2/2018 1:35,RT @SiClancy: I know it™s been an amazing World Cup but this is a bit too much excitement from Nacho. #worldcup https://t.co/PUCzb7nLP1,know it been an amazing World Cup but this is bit too much excitement from Nacho,Admirational,3817,worldcup,Simon Clancy,SiClancy,Goku
1.01359703567973E+018,7/2/2018 1:35,RT @valpan026: @eunicehuili @RachelWeng3 @FIFAWorldCup @weareoneEXO #POWER by our happy virus #EXO will be a perfect choice. Happy always~,by our happy virus will be perfect choice Happy always,Admirational,107,"POWER,EXO","Shiqi,Eunice,Rachel Weng,FIFA World Cup ?,EXO","valpan026,eunicehuili,RachelWeng3,FIFAWorldCup,weareoneEXO",ELyXiOn
1.01359703562955E+018,7/2/2018 1:35,Get the best in sports news and information by going to https://t.co/FMD00iDrGp new shows coming soon! #sportstalk #sportstalkradio #NBA #NHL #MLB #NFL #PGA #WORLDCUP,Get the best in sports news and information by going to new shows coming soon,Statistical,0,"sportstalk,sportstalkradio,NBA,NHL,MLB,NFL,PGA,WORLDCUP",,,JSA
1.01359703540729E+018,7/2/2018 1:35,RT @IanStaffs: Just worked out that if England can get past Colombia (probable) then either Sweden or Switzerland in the quarters (very doa,Just worked out that if England can get past Colombia probable then either Sweden or Switzerland in the quarters very doa,Statistical,7,,Ian Stafford,IanStaffs,SKS Media India
1.01359703054605E+018,7/2/2018 1:35,"RT @CCFCFan1927: People getting rightly excited over Mbappe after his performance at 19.
Let's not forget though, the man they were hating",People getting rightly excited over Mbappe after his performance at Lets not forget though the man they were hating,Admirational,6889,,CCFCFan,CCFCFan1927,??
1.01359702962318E+018,7/2/2018 1:35,RT @dw_sports: 2 PENALTY SHOOTOUTS IN ONE DAY! #CRODEN #WorldCup https://t.co/Y2O33Ukv4B,PENALTY SHOOTOUTS IN ONE DAY,Statistical,17,"CRODEN,WorldCup",DW Sports,dw_sports,miikii
1.01359702943447E+018,7/2/2018 1:35,"RT @Onyema_Donald: ?? Edinson Cavani for Napoli:

? Games: 138 
?? Goals: 104

?? Edinson Cavani for PSG:

? Games: 245
?? Goals: 170

?? E",Edinson Cavani for Napoli Games Goals Edinson Cavani for PSG Games Goals,Statistical,70,,Your Village People,Onyema_Donald,mattorazi
1.01359702597416E+018,7/2/2018 1:35,"RT @FIFAWorldCup: ?? | ""Japan have never made it past the last eight, so we want to get there"" ?
?? Can @jfa_samuraiblue reach the #WorldCu",Japan have never made it past the last eight so we want to get there Can reach the,Statistical,219,,"FIFA World Cup ?,????????","FIFAWorldCup,jfa_samuraiblue",Michelle??#StanBAP
1.01359702299219E+018,7/2/2018 1:35,"RT @IanStaffs: Wonder what the odds were on Messi, Ronaldo and Modric all missing penalties at this world cup? #WorldCup",Wonder what the odds were on Messi Ronaldo and Modric all missing penalties at this world cup,Statistical,4,WorldCup,Ian Stafford,IanStaffs,SKS Media India
1.01359701537533E+018,7/2/2018 1:35,RT @LeJuan__James: Lebron news is cool and all pero let™s gets back to what™s  important..... Let™s GO MEXICO! ???? #WorldCup,Lebron news is cool and all pero let gets back to what important Let GO MEXICO,Admirational,3,WorldCup,LeJuan James,LeJuan__James,DD Benitez
1.01359701448176E+018,7/2/2018 1:35,RT @eunicehuili: @RachelWeng3 @FIFAWorldCup @weareoneEXO Highly anticipating #POWER by #EXO to be played at the stadium.  @weareoneEXO @FIF,Highly anticipating by to be played at the stadium,Admirational,105,"POWER,EXO","Eunice,Rachel Weng,FIFA World Cup ?,EXO,EXO","eunicehuili,RachelWeng3,FIFAWorldCup,weareoneEXO,weareoneEXO",ELyXiOn
1.01359701265734E+018,7/2/2018 1:35,"How Do You Control the Ball 74% &amp; Lose?
How Do You Pass the Ball More Than 1100 Times &amp; Lose?
How Do You Take 25 Shots &amp; Only Let Up 6 &amp; Lose?
Well #Spain Did All That &amp; Lost Today to #Russia!
Congrats #Comrades on a Great Win Today!
#Soccer #WorldCup #WorldCup2018 
#Futbol https://t.co/qIDvfSwtcF",How Do You Control the Ball Lose How Do You Pass the Ball More Than Times Lose How Do You Take Shots Only Let Up Lose Well Did All That Lost Today to Congrats on Great Win Today,Criticism,0,"Spain,Russia,Comrades,Soccer,WorldCup,WorldCup2018,Futbol",,,Fire and Brimmstone
1.01359701104245E+018,7/2/2018 1:35,"RT @9GAGFootball: ?? Kasper Schmeichel vs Croatia:

? Saves penalty in Extra Time

? Saves 2 penalties in shootout.

? Still knocked out of",Kasper Schmeichel vs Croatia Saves penalty in Extra Time Saves penalties in shootout Still knocked out of,Statistical,15,,9GAG Football ?,9GAGFootball,Jay
1.01359701088735E+018,7/2/2018 1:35,"RT @Mariana_SRKajol: #LayLeague
#PowerByEXO
#WorldCup
#FIFAStadiumDJ
@FIFAWorldCup
@weareoneEXO
It was really difficult for fandom, but we",It was really difficult for fandom but we,Admirational,4,"LayLeague,PowerByEXO,WorldCup,FIFAStadiumDJ","Danelly KxS SxL?,FIFA World Cup ?,EXO","Mariana_SRKajol,FIFAWorldCup,weareoneEXO",?? ?? ??
1.01359700915931E+018,7/2/2018 1:35,"RT @AfricaFactsZone: Mikel John Obi is the only player to have represented Nigeria in the FIFA U-17 World Cup, FIFA U-20 World Cup (won Sil",Mikel John Obi is the only player to have represented Nigeria in the FIFA World Cup FIFA World Cup won Sil,Statistical,949,,Africa Facts Zone,AfricaFactsZone,Elvis Good
1.01359700631119E+018,7/2/2018 1:35,"???PoliticalRumble???
LIVE?LOUD?&amp; LITUP??
ON #Periscope 

WE ARE GOIN LIVE GET OVER HERE! 

UNFILTERED?UNCENSORED?
?? #FreeSpeech?
#RealNews NO #MSM BULLSH*T

#CloserNation  #WorldCup  #1A #SundayFunday
FACTS WITHOUT SPIN??
#Periscope? ? #GoLive 
#Croatia #MAGA https://t.co/iFb03yB2Ej",PoliticalRumble LIVE LOUD LITUP ON WE ARE GOIN LIVE GET OVER HERE UNFILTERED UNCENSORED NO BULLSH FACTS WITHOUT SPIN,Criticism,0,"Periscope,FreeSpeech,RealNews,MSM,CloserNation,WorldCup,1A,SundayFunday,Periscope,GoLive,Croatia,MAGA",,,DEPLORABLE?Raymoz50
1.01359700596743E+018,7/2/2018 1:35,RT @onxmyown: Poweeeer @FIFAWorldCup @weareoneEXO #PowerByEXO #WorldCup #FIFAStadiumDJ #ChenLeague,Poweeeer,Admirational,4,"PowerByEXO,WorldCup,FIFAStadiumDJ,ChenLeague","Paola,FIFA World Cup ?,EXO","onxmyown,FIFAWorldCup,weareoneEXO",Andrea?
1.013597004231E+018,7/2/2018 1:35,"RT @marinamaral2: Soccer team of British WWI soldiers wearing gas masks, France, 1916. #WorldCup #history https://t.co/ES3MWS0bnp",Soccer team of British WWI soldiers wearing gas masks France,Statistical,373,"WorldCup,history",Marina Amaral,marinamaral2,telha de amianto supreme
